month_num,day_num,darkness_hours
1,1,14.8167
2,1,13.9667
3,1,12.7333
4,1,11.2667
5,1,9.9333
6,1,8.95
7,1,8.8
8,1,9.5833
9,1,10.8833
10,1,12.2667
11,1,13.6667
12,1,14.6667
1,2,14.8
2,2,13.9167
3,2,12.6833
4,2,11.2167
5,2,9.8833
6,2,8.9333
7,2,8.8167
8,2,9.6167
9,2,10.9167
10,2,12.3167
11,2,13.7
12,2,14.6833
1,3,14.8
2,3,13.8833
3,3,12.65
4,3,11.1667
5,3,9.85
6,3,8.9
7,3,8.8333
8,3,9.65
9,3,10.9667
10,3,12.3667
11,3,13.75
12,3,14.7167
1,4,14.7833
2,4,13.85
3,4,12.6
4,4,11.1333
5,4,9.8167
6,4,8.8833
7,4,8.85
8,4,9.7
9,4,11.0167
10,4,12.4167
11,4,13.7833
12,4,14.7333
1,5,14.7667
2,5,13.8
3,5,12.55
4,5,11.0833
5,5,9.7667
6,5,8.8667
7,5,8.85
8,5,9.7333
9,5,11.0667
10,5,12.4667
11,5,13.8333
12,5,14.75
1,6,14.7333
2,6,13.7667
3,6,12.5
4,6,11.0333
5,6,9.7333
6,6,8.85
7,6,8.8667
8,6,9.7667
9,6,11.1
10,6,12.5
11,6,13.8667
12,6,14.7667
1,7,14.7167
2,7,13.7167
3,7,12.45
4,7,10.9833
5,7,9.7
6,7,8.8333
7,7,8.8833
8,7,9.8167
9,7,11.15
10,7,12.55
11,7,13.9
12,7,14.7833
1,8,14.7
2,8,13.6833
3,8,12.4
4,8,10.9333
5,8,9.65
6,8,8.8333
7,8,8.9167
8,8,9.85
9,8,11.2
10,8,12.6
11,8,13.95
12,8,14.8
1,9,14.6833
2,9,13.6333
3,9,12.3667
4,9,10.9
5,9,9.6167
6,9,8.8167
7,9,8.9333
8,9,9.8833
9,9,11.25
10,9,12.65
11,9,13.9833
12,9,14.8167
1,10,14.65
2,10,13.6
3,10,12.3167
4,10,10.85
5,10,9.5833
6,10,8.8
7,10,8.95
8,10,9.9333
9,10,11.2833
10,10,12.6833
11,10,14.0167
12,10,14.8333
1,11,14.6333
2,11,13.55
3,11,12.2667
4,11,10.8
5,11,9.55
6,11,8.7833
7,11,8.9667
8,11,9.9667
9,11,11.3333
10,11,12.7333
11,11,14.0667
12,11,14.8333
1,12,14.6167
2,12,13.5
3,12,12.2167
4,12,10.75
5,12,9.5167
6,12,8.7833
7,12,8.9833
8,12,10.0
9,12,11.3833
10,12,12.7833
11,12,14.1
12,12,14.85
1,13,14.5833
2,13,13.4667
3,13,12.1667
4,13,10.7167
5,13,9.4833
6,13,8.7667
7,13,9.0167
8,13,10.05
9,13,11.4333
10,13,12.8333
11,13,14.1333
12,13,14.8667
1,14,14.5667
2,14,13.4167
3,14,12.1167
4,14,10.6667
5,14,9.45
6,14,8.7667
7,14,9.0333
8,14,10.0833
9,14,11.4833
10,14,12.8667
11,14,14.1667
12,14,14.8667
1,15,14.5333
2,15,13.3833
3,15,12.0833
4,15,10.6167
5,15,9.4167
6,15,8.7667
7,15,9.0667
8,15,10.1333
9,15,11.5167
10,15,12.9167
11,15,14.2
12,15,14.8833
1,16,14.5
2,16,13.3333
3,16,12.0333
4,16,10.5833
5,16,9.3833
6,16,8.75
7,16,9.0833
8,16,10.1667
9,16,11.5667
10,16,12.9667
11,16,14.2333
12,16,14.8833
1,17,14.4833
2,17,13.2833
3,17,11.9833
4,17,10.5333
5,17,9.35
6,17,8.75
7,17,9.1167
8,17,10.2167
9,17,11.6167
10,17,13.0167
11,17,14.2667
12,17,14.8833
1,18,14.45
2,18,13.25
3,18,11.9333
4,18,10.4833
5,18,9.3167
6,18,8.75
7,18,9.1333
8,18,10.25
9,18,11.6667
10,18,13.05
11,18,14.3
12,18,14.9
1,19,14.4167
2,19,13.2
3,19,11.8833
4,19,10.45
5,19,9.2833
6,19,8.75
7,19,9.1667
8,19,10.3
9,19,11.7167
10,19,13.1
11,19,14.3333
12,19,14.9
1,20,14.3833
2,20,13.15
3,20,11.8333
4,20,10.4
5,20,9.25
6,20,8.75
7,20,9.2
8,20,10.35
9,20,11.75
10,20,13.15
11,20,14.3667
12,20,14.9
1,21,14.35
2,21,13.1
3,21,11.7833
4,21,10.35
5,21,9.2167
6,21,8.75
7,21,9.2167
8,21,10.3833
9,21,11.8
10,21,13.1833
11,21,14.4
12,21,14.9
1,22,14.3167
2,22,13.0667
3,22,11.75
4,22,10.3167
5,22,9.1833
6,22,8.75
7,22,9.25
8,22,10.4333
9,22,11.85
10,22,13.2333
11,22,14.4333
12,22,14.9
1,23,14.2833
2,23,13.0167
3,23,11.7
4,23,10.2667
5,23,9.1667
6,23,8.75
7,23,9.2833
8,23,10.4667
9,23,11.9
10,23,13.2833
11,23,14.4667
12,23,14.9
1,24,14.25
2,24,12.9667
3,24,11.65
4,24,10.2167
5,24,9.1333
6,24,8.75
7,24,9.3167
8,24,10.5167
9,24,11.95
10,24,13.3167
11,24,14.4833
12,24,14.8833
1,25,14.2167
2,25,12.9167
3,25,11.6
4,25,10.1833
5,25,9.1167
6,25,8.75
7,25,9.35
8,25,10.5667
9,25,11.9833
10,25,13.3667
11,25,14.5167
12,25,14.8833
1,26,14.1833
2,26,12.8833
3,26,11.55
4,26,10.1333
5,26,9.0833
6,26,8.7667
7,26,9.3833
8,26,10.6
9,26,12.0333
10,26,13.4167
11,26,14.55
12,26,14.8833
1,27,14.15
2,27,12.8333
3,27,11.5
4,27,10.1
5,27,9.05
6,27,8.7667
7,27,9.4167
8,27,10.65
9,27,12.0833
10,27,13.45
11,27,14.5667
12,27,14.8667
1,28,14.1167
2,28,12.7833
3,28,11.45
4,28,10.05
5,28,9.0333
6,28,8.7667
7,28,9.45
8,28,10.7
9,28,12.1333
10,28,13.5
11,28,14.6
12,28,14.8667
1,29,14.0667
3,29,11.4167
4,29,10.0167
5,29,9.0167
6,29,8.7833
7,29,9.4833
8,29,10.7333
9,29,12.1833
10,29,13.5333
11,29,14.6167
12,29,14.85
1,30,14.0333
3,30,11.3667
4,30,9.9667
5,30,8.9833
6,30,8.8
7,30,9.5167
8,30,10.7833
9,30,12.2333
10,30,13.5833
11,30,14.65
12,30,14.85
1,31,14.0
3,31,11.3167
5,31,8.9667
7,31,9.55
8,31,10.8333
10,31,13.6167
12,31,14.8333
