BillRate,ESRate,LightType,Wattage,NominalWattage
E0100LC,E0100LRT,LED Street Light,39,100
E0100LR,E0100LRT,LED Street Light,39,100
E0150C,E0150RT,High Pressure Sodium,150,150
E0150R,E0150RT,High Pressure Sodium,150,150
E0175C,E0175RT,Mercury Vapor,175,175
E0175R,E0175RT,Mercury Vapor,175,175
E0250C,E0250RT,High Pressure Sodium,250,250
E0250LC,E0250LRT,LED Flood Light,85,250
E0250LR,E0250LRT,LED Flood Light,85,250
E0250R,E0250RT,High Pressure Sodium,250,250
E0400C,E0400RT,Mercury Vapor,400,400
E0400LC,E0400LRT,LED Flood Light,129,400
E0400LR,E0400RT,Mercury Vapor,400,400
E0401C,E0401RT,High Pressure Sodium,400,400
E0401R,E0401RT,High Pressure Sodium,400,400
E1000C,E1000RT,Mercury Vapor,1000,1000
